firstName,lastName,war
Hank,Greenberg,55.6
Joe,Mauer,55.6
George,Uhle,55.6
Gabby,Hartnett,55.5
Jeff,Kent,55.5
Bobby,Mathews,55.4
Jack,Powell,55.3
Stan,Hack,55.2
David,Ortiz,55.0
Joe,Sewell,54.9
Kevin,Appier,54.5
Joe,Medwick,54.5
Sam,Rice,54.4
Willie,Keeler,54.3
Vada,Pinson,54.0
Ian,Kinsler,53.8
Ron,Cey,53.7
Jerry,Koosman,53.7
Harry,Hooper,53.6
Bucky,Walters,53.6
Wilbur,Cooper,53.4
Billy,Pierce,53.4
David,Wells,53.4
Jimmy,Collins,53.3
Joe,Tinker,53.2
Jack,Clark,53.1
Bert,Campaneris,53.0
Dwight,Gooden,53.0
Burleigh,Grimes,52.9
Jose,Altuve,52.7
Elmer,Flick,52.7
Babe,Adams,52.6
Fred,McGriff,52.6
Bid,McPhee,52.5
Bryce,Harper,52.4
Waite,Hoyt,52.4
Francisco,Lindor,52.3
Jim,O'Rourke,52.3
Norm,Cash,52.0
Larry,Jackson,52.0
Lance,Berkman,51.9
Dustin,Pedroia,51.9
Johan,Santana,51.7
Earl,Averill,51.6
Luis,Gonzalez,51.6
Brian,Downing,51.5
Toby,Harrah,51.4
Bobby,Doerr,51.3
Carl,Mays,51.3
Al,Orth,51.3
Brian,Giles,51.1
Kirby,Puckett,51.1
Bob,Elliott,50.9
Tony,Phillips,50.9
Theodore,Breitenstein,50.6
Torii,Hunter,50.6
Jason,Giambi,50.5
Jim,Kaat,50.5
Kenny,Rogers,50.5
Mark,Teixeira,50.5
Tommy,Bridges,50.4
Joe,Kelley,50.4
Silver,King,50.4
Ted,Simmons,50.4
Fred,Lynn,50.2
Orlando,Cepeda,50.1
Mark,Langston,50.1
Roy,Oswalt,50.0
Wilbur,Wood,50.0
Dave,Bancroft,49.9
Dizzy,Trout,49.9
Ellis,Burks,49.8
Mickey,Cochrane,49.8
Jamie,Moyer,49.8
Eddie,Rommel,49.8
Brett,Butler,49.7
Andrew,McCutchen,49.6
Bernie,Williams,49.6
Jimmy,Sheckard,49.5
Turkey,Stearnes,49.5
Willie,Wells,49.5
Nellie,Fox,49.3
David,Wright,49.1
Dutch,Leonard,49.0
Jimmy,Key,48.9
Sandy,Koufax,48.9
Jim,Fregosi,48.7
Jack,Stivetts,48.5
Doc,White,48.5
Buddy,Myer,48.4
Larry,Gardner,48.3
Heinie,Groh,48.3
Bob,Lemon,48.2
Dolf,Luque,48.2
Heinie,Manush,48.2
Oscar,Charleston,48.1
Kiki,Cuyler,48.1
Ralph,Kiner,48.1
Bobby,Veach,48.1
Jacob,deGrom,48.0
Mickey,Lolich,48.0
Wally,Schang,48.0
Buck,Ewing,47.9
Joe,Judge,47.9
Jimmy,Rollins,47.9
Charles,Bender,47.8
Ron,Guidry,47.8
Bobo,Newsom,47.8
Johnny,Evers,47.7
Ed,Konetchy,47.7
Jim,Rice,47.7
Tony,Lazzeri,47.6
Shohei,Ohtani,47.6
Nap,Rucker,47.6
Curtis,Granderson,47.4
Marcus,Semien,47.3
Devon,White,47.3
Ryan,Braun,47.2
Art,Fletcher,47.1
Tommy,Leach,47.1
George,Mullin,47.1
Bob,Shawkey,47.1
Miguel,Tejada,47.1
Bill,Foster,47.0
Jesse,Tannehill,47.0
Frank,Viola,47.0
Satchel,Paige,46.9
Hippo,Vaughn,46.9
Josh,Donaldson,46.8
Gene,Tenace,46.8
Roy,White,46.8
Hoyt,Wilhelm,46.8
Mike,Cameron,46.7
Chuck,Klein,46.7
Matt,Williams,46.6
Lave,Cross,46.5
Dale,Murphy,46.5
Mark,Grace,46.4
Vern,Stephens,46.3
Dizzy,Dean,46.2
Murry,Dickson,46.2
Willie,Wilson,46.1
Frank,Chance,46.0
King,Kelly,46.0
Thurman,Munson,46.0
Edd,Roush,45.8
Rusty,Staub,45.8
Lon,Warneke,45.8
John,McGraw,45.7
Del,Pratt,45.7
Augie,Galan,45.6
Omar,Vizquel,45.6
Roger,Peckinpaugh,45.5
Deacon,White,45.5
Larry,French,45.4
Lou,Brock,45.3
Addie,Joss,45.3
Brad,Radke,45.3
Adam,Wainwright,45.3
Vida,Blue,45.1
Larry,Doyle,45.1
Claude,Passeau,45.1
Earle,Combs,45.0
Herb,Pennock,45.0
Buster,Posey,45.0
Giancarlo,Stanton,45.0
Harry,Stovey,45.0
Dixie,Walker,45.0
Rocky,Colavito,44.9
J.D.,Drew,44.9
Paul,Hines,44.9
Red,Schoendienst,44.9
Bill,Donovan,44.8
Bill,Freehan,44.8
Troy,Tulowitzki,44.8
Jim,Gilliam,44.7
Red,Lucas,44.7
Steve,Rogers,44.7
Ben,Zobrist,44.7
Lonny,Frey,44.6
Noodles,Hahn,44.6
Chuck,Knoblauch,44.6
Cupid,Childs,44.4
Carlos,Delgado,44.4
Matt,Holliday,44.4
Sam,Thompson,44.4
Carlos,Correa,44.3
Nomar,Garciaparra,44.3
Brett,Gardner,44.3
Mel,Harder,44.3
Steve,Finley,44.2
George,Foster,44.2
Travis,Jackson,44.2
Al,Dark,43.9
Rabbit,Maranville,43.9
Carlos,Zambrano,43.9
Gil,Hodges,43.8
Milt,Pappas,43.8
Jimmy,Ryan,43.8
Fred,Tenney,43.8
Bob,Welch,43.7
Julio,Franco,43.6
Charlie,Keller,43.6
Al,Oliver,43.6
Jack,Morris,43.5
Fielder,Jones,43.4
Jon,Lester,43.4
Christian,Yelich,43.4
Curt,Simmons,43.3
Dolph,Camilli,43.2
Gerrit,Cole,43.2
Cliff,Lee,43.2
Hugh,Duffy,43.1
Ned,Garver,43.1
Mel,Stottlemyre,43.1
Tony,Oliva,43.0
Roger,Bresnahan,42.9
Amos,Otis,42.8
Jack,Chesbro,42.7
Jorge,Posada,42.7
Ken,Williams,42.7
Ben,Chapman,42.6
Sad Sam,Jones,42.6
Elmer,Smith,42.6
Wally,Berger,42.5
Alex,Bregman,42.5
Schoolboy,Rowe,42.5
Lenny,Dykstra,42.4
Don,Mattingly,42.4
Felipe,Alou,42.3
Hughie,Jennings,42.3
Davey,Lopes,42.3
Harry,Brecheen,42.2
Darryl,Strawberry,42.2
Gary,Gaetti,42.1
Phil,Rizzuto,42.1
Nelson,Cruz,42.0
Bill,Nicholson,42.0
John,Candelaria,41.9
Curt,Flood,41.9
Roy,Campanella,41.8
Doug,DeCinces,41.8
Kid,Gleason,41.8
Sam,McDowell,41.8
Ken,Singleton,41.8
Harlond,Clift,41.7
Jason,Kendall,41.7
Yadier,Molina,41.6
Jim,Perry,41.6
Eddie,Stanky,41.6
Dick,Bartell,41.5
Jason,Heyward,41.5
Mike,Tiernan,41.5
Fernando,Valenzuela,41.4
George Van,Haltren,41.3
Andy Van,Slyke,41.3
Jack,Fournier,41.2
Rich,Gossage,41.2
Claude,Osteen,41.2
Tom,Candiotti,41.1
Frank,Dwyer,41.1
Mark,Belanger,41.0
Hardy,Richardson,41.0
Bob,Friend,40.9
Catfish,Hunter,40.9
Xander,Bogaerts,40.8
Hooks,Dauss,40.8
Mike,Griffin,40.8
Gil,McDougald,40.8
Sadie,McMahon,40.8
Camilo,Pascual,40.8
Darrell,Porter,40.8
Roy,Thomas,40.7
Matt,Chapman,40.6
David,Justice,40.6
Tim,Salmon,40.6
Sam,Leever,40.5
Cy,Seymour,40.5
Jim,Sundberg,40.5
Pete,Browning,40.4
Carney,Lansford,40.4
Anthony,Rizzo,40.4
Virgil,Trucks,40.4
Smoky Joe,Wood,40.4
Andy,Messersmith,40.2
David,Price,40.2
Albert,Belle,40.1
Dave,Parker,40.1
Ryan,Zimmerman,40.1
Al,Leiter,40.0
Clyde,Milan,40.0
Tom,Zachary,40.0
George,Burns,39.9
George,Gore,39.9
Juan,Soto,39.9
Danny,Darwin,39.8
Pink,Hawley,39.8
Reggie,Sanders,39.8
Maury,Wills,39.6
Rafael,Furcal,39.5
Tommy,Henrich,39.5
Babe,Herman,39.5
Lance,Parrish,39.5
Jesse,Barfield,39.4
Donie,Bush,39.4
George,Cuppy,39.4
Jake,Daubert,39.4
Bill,Dinneen,39.4
Howard,Ehmke,39.4
Jon,Matlack,39.4
Carlos,Santana,39.4
Carl,Crawford,39.2
Curt,Davis,39.2
Jake,Peavy,39.2
Rico,Petrocelli,39.1
Boog,Powell,39.1
Trea,Turner,39.1
Bill,Hutchison,38.9
Zack,Wheeler,38.9
Charlie,Bennett,38.8
Paul,O'Neill,38.8
Pie,Traynor,38.8
Harold,Baines,38.7
Lefty,Gomez,38.7
Starling,Marte,38.7
Russell,Martin,38.7
Ed,McKean,38.7
Don,Newcombe,38.7
Hack,Wilson,38.7
Kent,Hrbek,38.6
Jeff,Pfeffer,38.6
Corey,Seager,38.6
Lonnie,Smith,38.5
Justin,Turner,38.5
Tim,Wallach,38.5
Bill,White,38.5
Johnny,Callison,38.4
Chili,Davis,38.4
Harry,Davis,38.4
Kirk,Gibson,38.4
Charlie,Hough,38.4
Ed,Morris,38.4
Eric,Chavez,38.3
Ray,Brown,38.2
Lorenzo,Cain,38.2
Sid,Gordon,38.2
Ray,Lankford,38.2
Bill,Madlock,38.2
Roger,Maris,38.2
George,Springer,38.2
Max,Bishop,38.1
Steve,Garvey,38.1
Josh,Gibson,38.1
Troy,Glaus,38.1
Paul,Blair,37.8
Gus,Weyhing,37.8
Jeff,Heath,37.7
Ernie,Lombardi,37.7
Terry,Turner,37.7
Lu,Blue,37.6
Frank,Howard,37.6
George,Kell,37.6
Charlie,Root,37.6
Jim,Maloney,37.5
Dick,McAuliffe,37.5
Mark,Gubicza,37.4
Dutch,Leonard,37.4
Cy,Williams,37.4
Guy,Hecker,37.3
Madison,Bumgarner,37.2
John,Lackey,37.2
Jay,Bell,37.1
Phil,Cavarretta,37.1
Dusty,Baker,37.0
Fred,Dunlap,37.0
Kyle,Seager,37.0
Kip,Selbach,37.0
Herman,Long,36.9
Matt,Olson,36.9
Earl,Whitehill,36.9
Bullet Joe,Bush,36.8
Dick,Groat,36.8
Garry,Maddox,36.8
J.T.,Realmuto,36.8
Rube,Walberg,36.8
Wally,Moses,36.7
Andy,Pafko,36.6
George,Scott,36.6
Mule,Suttles,36.6
