has_no_hitter
abbotji01
allenfr01
alvarhe01
alvarwi01
arrieja01
atkinal01
baileho02
barkele01
barneje01
barnere02
beckejo02
belinbo01
bendech01
benzjo01
bibbyji01
bickfve01
blackdo01
blackew01
blancro01
bluevi01
blylebe01
bordejo01
bosioch01
bosmadi01
bradeda01
bradlge01
breitte01
brownke01
brownto05
buchhcl01
buehrma01
bunniji01
burdele01
burkebo01
burnea.01
burnsdi01
busbyst01
bushjo01
cainma01
caldwra02
callani01
candejo01
cardwdo01
carlete01
ceasedy01
chambcl01
chancde01
cicoted01
clarkjo01
colboji01
coneda01
corcola01
cowlejo01
culvege01
cushmed01
dailyhu01
davenda01
davisge02
deanpa01
detmere01
dierkla01
dietrbi01
dinnebi01
donahre01
dowlipe01
easonma01
eckerde01
ehmkeho01
ellerho01
ellisdo01
ericksc01
erskica01
fellebo01
ferguch01
ferrewe01
fiersmi01
forscbo01
forscke01
fosteru01
fowledi01
frasech01
galvipu01
garzama01
germado01
gibsobo01
gilbety01
giolilu01
goodedw01
greento01
groombo01
grosske01
hahnno01
haineje01
haliced01
hallaro01
hamelco01
hamilea01
hawkebi01
headed01
heckegu01
hendrcl01
henlewe01
hernafe02
hestoch01
hollobo01
holtzke01
hootobu01
horlejo01
hubbeca01
hugheja01
hugheto02
humbeph01
hunteca01
iwakuhi01
jacksed01
jimenjo01
jimenub01
johnske02
johnsra05
johnswa01
jonesbu01
jonessa01
jonessa02
jossad01
keegabo01
kenneve01
kershcl01
kileda01
kilroma01
kimbesa01
klubeco01
koober01
koufasa01
kralija01
lafited01
larsedo01
lavenji01
leach01
leiteal01
lemonbo01
leonadu01
lestejo01
linceti01
liriafr01
lorenmi01
lovetto01
lowede01
lushjo01
lyonste01
maddoni01
maglisa01
mainal01
malonji01
manaese01
maricju01
marquru01
martide01
martira02
mathech01
mccahbi01
meansjo01
merckke01
mileywa01
millsal02
millwke01
miltoer01
mogrige01
monbobi01
montejo01
moosebo01
morehda01
morried01
morrija02
mountfr01
mulhote01
mullato01
mullige01
musgrjo01
niekrph01
nieveju01
nomohi01
nottedo01
palmeji01
pappami01
parneme01
paxtoja01
pearsmo01
perryga01
pfeffbi01
phillde01
phoebto01
portehe01
radboch01
reussje01
reynoal01
rhoadbo01
richmle01
righeda01
roberch01
rodonca01
rogerke01
ruckena01
rusieam01
ryanno01
saberbr01
sanchan01
sanchjo01
sandebe01
santaer01
santajo02
scherma01
scottmi03
seaveto01
sewared01
shouncl01
siebeso01
singebi01
smithbu02
smithfr03
snellbl01
spahnwa01
stewada01
stiebda01
stiveja01
stonebi01
tanneje01
terryad01
tesreje01
thornwa01
titcoca01
tobinji01
toneyfr01
truckvi01
turnbsp01
valdefr01
valenfe01
vanceda01
vandejo01
verlaju01
volqued01
walshed01
wardjo01
warnelo01
warremi01
washbra01
weaveje02
wellsda01
weyhigu01
wilheho01
willivi01
wilsodo01
wilsoea01
wilsoji02
wiltsho01
wiseri01
wittmi01
woodjo02
wrighcl01
youngcy01
zambrca01
zimmejo02
